model,split,regime,threshold_source,q50,q75,q90,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
Calibrated-Hybrid-QLIKE-scale_mean,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.7385980662039215,0.6547749454203603,1.474042803425853,1.524715411321571,2.1669402572957215,1.4212096508013203
Calibrated-Hybrid-QLIKE-scale_mean,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.5379351194147768,1.5175631876120614,1.0048922111733323,0.5675483883492694,2.085111575961331,3.6738921627915064
Calibrated-Hybrid-QLIKE-scale_qlike,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.7941152245099035,1.7867391100464896,0.6682031420596998,0.08384782905334565,1.870586939099835,22.309306755094763
Calibrated-Hybrid-QLIKE-scale_qlike,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.113710023412954,5.869089766112372,4.505599130138475,7.95855861532247,2.098955625220057,0.26373564946534106
Calibrated-Hybrid-QLIKE-scale_qlike,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.585292953810876,0.5050244405082024,1.4513201201518737,1.524715411321571,1.9871403889130925,1.3032860913963658
Calibrated-Hybrid-QLIKE-scale_qlike,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.3661789870916832,1.34455297855867,0.9429795741570614,0.5675483883492694,1.9121013669079392,3.3690543505362434
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.9745340255430357,1.9257940789043477,0.7184639419306296,0.08384782905334565,2.0096419079576937,23.9677273776417
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.027201591082344,5.674476238276773,4.33689257615491,7.95855861532247,2.320060618903007,0.2915176894514838
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.7987980206986863,0.6543013367486962,1.4766103853577226,1.524715411321571,2.1151639384222705,1.3872516292000479
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.5799555169590236,1.5039991170109974,0.9889745527762343,0.5675483883492694,2.0715475053602668,3.6499927546009276
Calibrated-LSTM-LogTarget-Small-isotonic,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,2.0983726968298027,1.8776756414048625,0.6187391788244259,0.08384782905334565,1.961523470458208,23.393849221907082
Calibrated-LSTM-LogTarget-Small-isotonic,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,10.829073006772635,5.779425563623545,4.278562504683267,7.95855861532247,2.742835521781625,0.34463973369510564
Calibrated-LSTM-LogTarget-Small-isotonic,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,1.228318755589875,0.8866430208646993,1.529096071820018,1.524715411321571,2.2027131454274143,1.4446716607384311
Calibrated-LSTM-LogTarget-Small-isotonic,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.9732124458564935,1.5703430231997575,0.9645382868364357,0.5675483883492694,2.1355542248405963,3.7627703094213985
Calibrated-LSTM-LogTarget-Small-scale_mean,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,2.075386041316543,2.0244480586818034,0.7643653774917026,0.08384782905334565,2.1082958877351494,25.144310968311533
