model,split,model_group,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,extreme_regime_qlike,spike90_underprediction_rate,spike90_severe_underprediction_rate,spike90_average_pred_actual_ratio,var1_violation_rate,var1_kupiec_p_value
ComboPair-BestGARCHFamily_BestCalibratedNeural,validation,benchmark_garch_family,731,4.580561745369891,2.3149158195872497,1.5101981342962774,2.1576002606846854,2.1289744432819724,0.9867325667667333,,,,,,
Calibrated-Hybrid-LogTarget-Small-isotonic,validation,neural_or_hybrid,731,4.578317311297285,2.3247709954609177,1.5104008273261846,2.1576002606846854,2.1576002606846854,1.0,,,,,,
ComboMean-PoolC_GARCH_CalibratedNeural,validation,benchmark_garch_family,731,4.587732554423559,2.3013668561824594,1.5150697966393571,2.1576002606846854,2.078162141980441,0.963182188956987,,,,,,
Calibrated-Hybrid-LogTarget-isotonic,validation,neural_or_hybrid,731,4.579883056824019,2.3560888485707228,1.5242182605014956,2.1576002606846854,2.157600260684685,0.9999999999999998,,,,,,
ComboMedian-PoolC_GARCH_CalibratedNeural,validation,benchmark_garch_family,731,4.58052303375189,2.29509670906538,1.529371819053354,2.1576002606846854,2.0854240661859675,0.9665479302102913,,,,,,
Calibrated-Hybrid-QLIKE-isotonic,validation,neural_or_hybrid,731,4.584812720119155,2.333603327905086,1.5460446367880312,2.1576002606846854,2.157600260684686,1.0000000000000002,,,,,,
Calibrated-LSTM-LogTarget-isotonic,validation,neural_or_hybrid,731,4.573411980196752,2.3408453887703535,1.547466359721714,2.1576002606846854,2.157600260684685,0.9999999999999998,,,,,,
Calibrated-ARIMA-GARCH-LSTM-isotonic,validation,benchmark_garch_family,731,4.588258499200386,2.333051287530106,1.5505063755186843,2.1576002606846854,2.157600260684686,1.0000000000000002,,,,,,
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,validation,neural_or_hybrid,731,4.669303574933172,2.38356961627511,1.5553800161280065,2.1576002606846854,2.126596292165643,0.985630346323186,,,,,,
Calibrated-Hybrid-LogTarget-Small-scale_qlike,validation,neural_or_hybrid,731,4.669338116446905,2.376945227251055,1.5554037692561327,2.1576002606846854,2.1119451264173694,0.9788398550467231,,,,,,
Calibrated-Hybrid-LogTarget-Small-scale_mean,validation,neural_or_hybrid,731,4.66947731869501,2.39762199738288,1.5554846718901705,2.1576002606846854,2.157600260684686,1.0000000000000002,,,,,,
ComboPair-BestRefitGARCH_HybridQLIKE,validation,benchmark_garch_family,731,4.711024139994932,2.3260599458661564,1.577374839634468,2.1576002606846854,1.922563770585531,0.8910657852698958,,,,,,
ComboPair-BestGARCHFamily_HybridQLIKE,validation,benchmark_garch_family,731,4.731310826367151,2.2644873553041327,1.5801039114651367,2.1576002606846854,1.748822535802686,0.8105405656781488,,,,,,
Calibrated-LSTM-isotonic,validation,neural_or_hybrid,731,4.68324253767358,2.4458690856979497,1.5833585145963183,2.1576002606846854,2.157600260684686,1.0000000000000002,,,,,,
Calibrated-Hybrid-LogTarget-affine_nonnegative,validation,neural_or_hybrid,731,4.719327958929896,2.400037154184027,1.5839184703424716,2.1576002606846854,2.071791036046708,0.9602293222699431,,,,,,
Calibrated-Hybrid-LogTarget-scale_qlike,validation,neural_or_hybrid,731,4.719084269115148,2.408653179049137,1.5839617635402599,2.1576002606846854,2.091183271092591,0.9692171943050203,,,,,,
Calibrated-Hybrid-LogTarget-scale_mean,validation,neural_or_hybrid,731,4.719175855971158,2.4389027118663216,1.5847310591530253,2.1576002606846854,2.1576002606846854,1.0,,,,,,
ComboPair-GARCH11_HybridQLIKE,validation,benchmark_garch_family,731,4.7220629634444755,2.378976513902211,1.5867288798853418,2.1576002606846854,1.9909913971621227,0.9227804767368301,,,,,,
Calibrated-LSTM-QLIKE-isotonic,validation,neural_or_hybrid,731,4.664167044199702,2.4384974222129276,1.5885942329465943,2.1576002606846854,2.157600260684685,0.9999999999999998,,,,,,
Calibrated-LSTM-LogTarget-affine_nonnegative,validation,neural_or_hybrid,731,4.742262025453352,2.439954646637187,1.5955390200250954,2.1576002606846854,2.1860936546096057,1.0132060578801925,,,,,,
Calibrated-LSTM-LogTarget-scale_qlike,validation,neural_or_hybrid,731,4.747387708249189,2.4476800736902327,1.5955807649758191,2.1576002606846854,2.2046995026169154,1.021829456915844,,,,,,
Calibrated-LSTM-LogTarget-scale_mean,validation,neural_or_hybrid,731,4.742464795668945,2.4245996309187325,1.5957418666414087,2.1576002606846854,2.157600260684686,1.0000000000000002,,,,,,
AdvGARCH-BestQLIKE,validation,benchmark_garch_family,750,4.6858598440437635,2.2023521831092543,1.611303620133235,2.1342407332578572,1.6590120539627702,0.7773312673263132,,,,,,
